INSTAL_COD,INSTAL_NOM,INSTAL_N_1,ETAB_CODE,ETAB_NOM,ETAB_NOM_A,RSS_CODE,RSS_NOM,ADRESSE,CASE_POST,CODE_POSTA,MUN_CODE,MUN_NOM,CLSC_CODE,CLSC_NOM,MRC_CODE,MRC_NOM,RLS_CODE,RLS_NOM,RUIS_CODE,RUIS_NOM,STATUT_COD,MD_CONS_CO,MD_FINAN_C,DESIGN_MIN,INSTANCE,DATE_INCOR,DATE_OUVER,LONGITUDE,LATITUDE,CHPSY,CHSGS,CHSLD,CLSC,CPEJ,CRDITED,CRDPA,CRDPM,CRDPV,CRDPL,CRJDA,CRMDA,CRD,DATE_MAJ
"51216539","CENTRE DE RÉADAPTATION EN DÉFICIENCE INTELLECTUELLE ET EN TROUBLES DU SPECTRE DE L'AUTISME DE PLESSISVILLE","CRDI-TSA DE PLESSISVILLE","11045143","Centre intégré universitaire de santé et de services sociaux de la Mauricie-et-du-Centre-du-Québec","CIUSSS de la Mauricie-et-du-Centre-du-Québec","04","Mauricie et Centre-du-Québec","1500, avenue Saint-Louis, bureau 201"," ","G6L2M8","32043","Plessisville","04182","De l'Érable","320","L'Érable","0418","RLS d’Arthabaska-et-de-L’Érable","4","RUISSS Université de Sherbrooke","1","2","1","0","N"," ","1995-04-01",-71.77079772949219,46.21929931640625,"Non","Non","Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51216547","CENTRE DE RÉADAPTATION EN DÉFICIENCE INTELLECTUELLE ET EN TROUBLES DU SPECTRE DE L'AUTISME DES BOIS-FRANCS-NORD","CRDI-TSA DES BOIS-FRANCS-NORD","11045143","Centre intégré universitaire de santé et de services sociaux de la Mauricie-et-du-Centre-du-Québec","CIUSSS de la Mauricie-et-du-Centre-du-Québec","04","Mauricie et Centre-du-Québec","466, boulevard des Bois-Francs Nord"," ","G6P1H3","39062","Victoriaville","04181","Arthabaska","390","Arthabaska","0418","RLS d’Arthabaska-et-de-L’Érable","4","RUISSS Université de Sherbrooke","1","2","1","0","N"," ","1995-04-01",-71.96810150146484,46.06700134277344,"Non","Non","Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51216596","CLSC DE BARACHOIS","CLSC DE BARACHOIS","11045242","Centre intégré de santé et de services sociaux de la Gaspésie","CISSS de la Gaspésie","11","Gaspésie–Îles-de-la-Madeleine","1070, Route 132 Est"," ","G0C1A0","02005","Percé","11132","Gaspé","020","Le Rocher-Percé","1113","RLS de La Côte-de-Gaspé","1","RUISSS Université Laval","1","2","1","0","N"," ","1995-04-01",-64.27960205078125,48.61800003051758,"Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51216687","CHUS - HÔPITAL FLEURIMONT","CHUS - HÔPITAL FLEURIMONT","11045150","Centre intégré universitaire de santé et de services sociaux de l'Estrie – Centre hospitalier universitaire de Sherbrooke","CIUSSS de l'Estrie – CHUS","05","Estrie","3001, 12e Avenue Nord"," ","J1H5N4","43027","Sherbrooke","05151","Sherbrooke","430","Sherbrooke","0515","RLS de Sherbrooke","4","RUISSS Université de Sherbrooke","1","2","1","0","N"," ","1995-07-01",-71.86900329589844,45.44779968261719,"Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51216695","CHUS - HÔTEL-DIEU DE SHERBROOKE","CHUS - HÔTEL-DIEU DE SHERBROOKE","11045150","Centre intégré universitaire de santé et de services sociaux de l'Estrie – Centre hospitalier universitaire de Sherbrooke","CIUSSS de l'Estrie – CHUS","05","Estrie","580, rue Bowen Sud"," ","J1G2E8","43027","Sherbrooke","05151","Sherbrooke","430","Sherbrooke","0515","RLS de Sherbrooke","4","RUISSS Université de Sherbrooke","1","2","1","0","N"," ","1995-07-01",-71.87789916992188,45.398399353027344,"Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51216802","CENTRE LE CARDINAL","CENTRE LE CARDINAL","11042280","Centre Le Cardinal inc.","Centre Le Cardinal inc.","06","Montréal","12900, rue Notre-Dame Est"," ","H1A1R9","66023","Montréal","06523","Pointe-aux-Trembles","660","Montréal","0652","RLS de Rivière-des-Prairies - Anjou - Montréal-Est","2","RUISSS Université de Montréal","2","1","2","0","N","2010-02-24","1995-06-12",-73.48829650878906,45.65250015258789,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51216950","CENTRE DE RÉADAPTATION EN DÉFICIENCE INTELLECTUELLE ET EN TROUBLES DU SPECTRE DE L'AUTISME DE BOUCHERVILLE","CRDI-TSA DE BOUCHERVILLE","11045317","Centre intégré de santé et de services sociaux de la Montérégie-Ouest","CISSS de la Montérégie-Ouest","16","Montérégie","1335, rue Gay-Lussac"," ","J4B7K1","58033","Boucherville","16213","Lajemmerais","580","Longueuil","1621","RLS Pierre-Boucher","2","RUISSS Université de Montréal","1","2","1","0","N"," ","1995-04-01",-73.4292984008789,45.571800231933594,"Non","Non","Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51217081","CHSLD RICHARD-BUSQUE","CHSLD RICHARD-BUSQUE","11045333","Centre intégré de santé et de services sociaux de Chaudière-Appalaches","CISSS de Chaudière-Appalaches","12","Chaudière-Appalaches","405, 18e rue"," ","G5Y4T2","29073","Saint-Georges","12132","Beauce-Sartigan","290","Beauce-Sartigan","1213","RLS de Beauce","1","RUISSS Université Laval","1","2","1","0","N"," ","1995-08-29",-70.67449951171875,46.11579895019531,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51217099","CHSLD DU SÉMINAIRE","CHSLD DU SÉMINAIRE","11045333","Centre intégré de santé et de services sociaux de Chaudière-Appalaches","CISSS de Chaudière-Appalaches","12","Chaudière-Appalaches","11515, 8e avenue"," ","G5Y1J5","29073","Saint-Georges","12132","Beauce-Sartigan","290","Beauce-Sartigan","1213","RLS de Beauce","1","RUISSS Université Laval","1","2","1","0","N"," ","1995-08-29",-70.67140197753906,46.124900817871094,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51217222","CENTRE D'HÉBERGEMENT JACQUES-CARTIER","CENTRE D'HÉBERGEMENT JACQUES-CARTIER","11045127","Centre intégré universitaire de santé et de services sociaux du Saguenay – Lac-Saint-Jean","CIUSSS du Saguenay – Lac-Saint-Jean","02","Saguenay–Lac-Saint-Jean","904, rue Jacques-Cartier Est"," ","G7H2A9","94068","Saguenay","02151","Saguenay","941","Saguenay","0215","RLS de Chicoutimi","1","RUISSS Université Laval","1","2","1","0","N"," ","1995-09-19",-71.04090118408203,48.423301696777344,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51217248","CLSC ET CENTRE DE PROTECTION DE L'ENFANCE ET DE LA JEUNESSE DE L'OUTAOUAIS","CLSC ET CPEJ DE L'OUTAOUAIS","11045218","Centre intégré de santé et de services sociaux de l'Outaouais","CISSS de l'Outaouais","07","Outaouais","105, boulevard Sacré-Coeur, Édifice Marc"," ","J8X1C5","81017","Gatineau","07142","Hull","810","Gatineau","0714","RLS de Grande-Rivière - Hull - Gatineau","3","RUISSS Université McGill","1","2","1","0","N"," ","1995-09-19",-75.71510314941406,45.43769836425781,"Non","Non","Non","Oui","Oui","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51217370","CENTRE DE RÉADAPTATION POUR LES JEUNES EN DIFFICULTÉ D'ADAPTATION DE RIMOUSKI-NEIGETTE","CRJDA DE RIMOUSKI-NEIGETTE","11045119","Centre intégré de santé et de services sociaux du Bas-Saint-Laurent","CISSS du Bas-Saint-Laurent","01","Bas-Saint-Laurent","404, avenue Ross"," ","G5L6J2","10043","Rimouski","01151","Rimouski-Neigette","100","Rimouski-Neigette","0115","RLS de Rimouski","1","RUISSS Université Laval","1","2","1","0","N"," ","1995-10-27",-68.52570343017578,48.43299865722656,"Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Oui","Non","Non","2026-03-23"
"51217453","CENTRE DE RÉADAPTATION POUR LES JEUNES EN DIFFICULTÉ D'ADAPTATION LIMOGES","CRJDA LIMOGES","11045309","Centre intégré de santé et de services sociaux de la Montérégie-Est","CISSS de la Montérégie-Est","16","Montérégie","2010, rue Limoges"," ","J4G1C3","58227","Longueuil","16212","Longueuil-Est","580","Longueuil","1621","RLS Pierre-Boucher","2","RUISSS Université de Montréal","1","2","1","0","N"," ","1995-10-26",-73.48059844970703,45.569801330566406,"Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Oui","Non","Non","2026-03-23"
"51217461","CENTRE DE RÉADAPTATION POUR LES JEUNES EN DIFFICULTÉ D'ADAPTATION DE CHAMBLY","CRJDA DE CHAMBLY","11045309","Centre intégré de santé et de services sociaux de la Montérégie-Est","CISSS de la Montérégie-Est","16","Montérégie","1501, avenue de Salaberry"," ","J3L4V8","57005","Chambly","16121","Chambly-Carignan-Marieville","570","La Vallée-du-Richelieu","1612","RLS du Haut-Richelieu - Rouville","4","RUISSS Université de Sherbrooke","1","2","1","0","N"," ","1995-10-26",-73.310302734375,45.444000244140625,"Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Oui","Non","Non","2026-03-23"
"51217479","CENTRE DE RÉADAPTATION POUR LES JEUNES EN DIFFICULTÉ D'ADAPTATION DE SAINT-HYACINTHE","CRJDA DE SAINT-HYACINTHE","11045309","Centre intégré de santé et de services sociaux de la Montérégie-Est","CISSS de la Montérégie-Est","16","Montérégie","3000, avenue Pratte"," ","J2S4C7","54048","Saint-Hyacinthe","16222","Les Maskoutains","540","Les Maskoutains","1622","RLS de Richelieu-Yamaska","4","RUISSS Université de Sherbrooke","1","2","1","0","N"," ","1995-10-26",-72.95989990234375,45.64149856567383,"Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Oui","Non","Non","2026-03-23"
"51217529","HÔPITAL DU SAINT-SACREMENT","HÔPITAL DU SAINT-SACREMENT","11045051","CHU de Québec – Université Laval","CHU de Québec – UL","03","Capitale-Nationale","1050, chemin Sainte-Foy"," ","G1S4L8","23027","Québec","03124","Québec - Haute-Ville","230","Québec","0312","RLS de Québec-Sud","1","RUISSS Université Laval","1","2","1","1","N"," ","1995-09-13",-71.24639892578125,46.799400329589844,"Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51217560","CENTRE DE PROTECTION ET DE RÉADAPTATION POUR LES JEUNES EN DIFFICULTÉ D'ADAPTATION DE CHICOUTIMI","CPRJDA DE CHICOUTIMI","11045127","Centre intégré universitaire de santé et de services sociaux du Saguenay – Lac-Saint-Jean","CIUSSS du Saguenay – Lac-Saint-Jean","02","Saguenay–Lac-Saint-Jean","1109, rue Bégin"," ","G7H4P1","94068","Saguenay","02151","Saguenay","941","Saguenay","0215","RLS de Chicoutimi","1","RUISSS Université Laval","1","2","1","0","N"," ","1995-11-27",-71.06770324707031,48.41080093383789,"Non","Non","Non","Non","Oui","Non","Non","Non","Non","Non","Oui","Non","Non","2026-03-23"
"51217578","CENTRE DE PROTECTION ET DE RÉADAPTATION POUR LES JEUNES EN DIFFICULTÉ D'ADAPTATION DE ROBERVAL","CPRJDA DE ROBERVAL","11045127","Centre intégré universitaire de santé et de services sociaux du Saguenay – Lac-Saint-Jean","CIUSSS du Saguenay – Lac-Saint-Jean","02","Saguenay–Lac-Saint-Jean","254, boulevard Sauvé"," ","G8H1A7","91025","Roberval","02111","Domaine-du-Roy","910","Le Domaine-du-Roy","0211","RLS du Domaine-du-Roy","1","RUISSS Université Laval","1","2","1","0","N"," ","1995-11-27",-72.22740173339844,48.49879837036133,"Non","Non","Non","Non","Oui","Non","Non","Non","Non","Non","Oui","Non","Non","2026-03-23"
"51217586","L'HÔTEL-DIEU DE QUÉBEC","L'HÔTEL-DIEU DE QUÉBEC","11045051","CHU de Québec – Université Laval","CHU de Québec – UL","03","Capitale-Nationale","11, Côte du Palais"," ","G1R2J6","23027","Québec","03124","Québec - Haute-Ville","230","Québec","0312","RLS de Québec-Sud","1","RUISSS Université Laval","1","2","1","1","N"," ","1995-12-12",-71.21099853515625,46.815399169921875,"Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51217594","CENTRE HOSPITALIER DE L'UNIVERSITÉ LAVAL","CHUL","11045051","CHU de Québec – Université Laval","CHU de Québec – UL","03","Capitale-Nationale","2705, boulevard Laurier"," ","G1V4G2","23027","Québec","03123","Sainte-Foy - Sillery","230","Québec","0312","RLS de Québec-Sud","1","RUISSS Université Laval","1","2","1","1","N"," ","1995-12-12",-71.28230285644531,46.76789855957031,"Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51217602","HÔPITAL SAINT-FRANÇOIS D'ASSISE","HÔPITAL SAINT-FRANÇOIS D'ASSISE","11045051","CHU de Québec – Université Laval","CHU de Québec – UL","03","Capitale-Nationale","10, rue de l'Espinay"," ","G1L3L5","23027","Québec","03126","Limoilou-Vanier","230","Québec","0312","RLS de Québec-Sud","1","RUISSS Université Laval","1","2","1","1","N"," ","1995-12-12",-71.23660278320312,46.82780075073242,"Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51217610","HÔPITAL DE MONT-LAURIER","HÔPITAL DE MONT-LAURIER","11045283","Centre intégré de santé et de services sociaux des Laurentides","CISSS des Laurentides","15","Laurentides","2561, chemin de la Lièvre Sud"," ","J9L3G3","79088","Mont-Laurier","15111","Antoine-Labelle","790","Antoine-Labelle","1511","RLS d'Antoine-Labelle","2","RUISSS Université de Montréal","1","2","1","0","N"," ","1995-12-14",-75.5177001953125,46.549198150634766,"Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51217628","CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE RIVIÈRE-ROUGE","CENTRE MULTI. SSS DE RIVIÈRE-ROUGE","11045283","Centre intégré de santé et de services sociaux des Laurentides","CISSS des Laurentides","15","Laurentides","1525, rue de L'Annonciation Nord"," ","J0T1T0","79037","Rivière-Rouge","15111","Antoine-Labelle","790","Antoine-Labelle","1511","RLS d'Antoine-Labelle","2","RUISSS Université de Montréal","1","2","1","0","N"," ","1995-12-14",-74.88469696044922,46.420799255371094,"Non","Oui","Oui","Oui","Non","Oui","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51217644","CENTRE DE RÉADAPTATION POUR LES JEUNES EN DIFFICULTÉ D'ADAPTATION VAL-DU-LAC","CRJDA VAL-DU-LAC","11045150","Centre intégré universitaire de santé et de services sociaux de l'Estrie – Centre hospitalier universitaire de Sherbrooke","CIUSSS de l'Estrie – CHUS","05","Estrie","8475, chemin Blanchette"," ","J1N3A3","43027","Sherbrooke","05151","Sherbrooke","430","Sherbrooke","0515","RLS de Sherbrooke","4","RUISSS Université de Sherbrooke","1","2","1","0","N"," ","1995-12-14",-72.02100372314453,45.31449890136719,"Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Oui","Non","Non","2026-03-23"
"51217669","CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LAVAL","CENTRE MULTI. SSS DE LAVAL","11045267","Centre intégré de santé et de services sociaux de Laval","CISSS de Laval","13","Laval","308, boulevard Cartier Ouest"," ","H7N2J2","65005","Laval","13113","Pont-Viau","650","Laval","1311","RLS de Laval","2","RUISSS Université de Montréal","1","2","1","0","N"," ","1995-12-14",-73.69950103759766,45.554100036621094,"Non","Non","Non","Oui","Oui","Non","Non","Non","Non","Non","Oui","Non","Non","2026-03-23"
"51217685","CENTRE DE RÉADAPTATION POUR LES JEUNES EN DIFFICULTÉ D'ADAPTATION CARTIER","CRJDA CARTIER","11045267","Centre intégré de santé et de services sociaux de Laval","CISSS de Laval","13","Laval","306, boulevard Cartier Ouest"," ","H7N2J2","65005","Laval","13113","Pont-Viau","650","Laval","1311","RLS de Laval","2","RUISSS Université de Montréal","1","2","1","0","N"," ","1995-12-14",-73.697998046875,45.55590057373047,"Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Oui","Non","Non","2026-03-23"
"51217693","CENTRE DE RÉADAPTATION POUR LES JEUNES EN DIFFICULTÉ D'ADAPTATION DE LAVAL","CRJDA DE LAVAL","11045267","Centre intégré de santé et de services sociaux de Laval","CISSS de Laval","13","Laval","310, boulevard Cartier Ouest"," ","H7N2J2","65005","Laval","13113","Pont-Viau","650","Laval","1311","RLS de Laval","2","RUISSS Université de Montréal","1","2","1","0","N"," ","1995-12-14",-73.69770050048828,45.55500030517578,"Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Oui","Non","Non","2026-03-23"
"51217735","CENTRE D'HÉBERGEMENT JEAN-DE-LA-LANDE","CENTRE D'HÉBERGEMENT JEAN-DE-LA-LANDE","11045184","Centre intégré universitaire de santé et de services sociaux du Centre-Sud-de-l'Île-de-Montréal","CIUSSS du Centre-Sud-de-l'Île-de-Montréal","06","Montréal","4255, avenue Papineau"," ","H2H2P6","66023","Montréal","06322","Plateau-Mont-Royal","660","Montréal","0632","RLS des Faubourgs - Plateau-Mont-Royal - St-Louis-du-Parc","2","RUISSS Université de Montréal","1","2","1","0","N"," ","1995-12-27",-73.56990051269531,45.53129959106445,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51217750","CENTRE D'HÉBERGEMENT DE SAINT-PACÔME","CENTRE D'HÉBERGEMENT DE SAINT-PACÔME","11045119","Centre intégré de santé et de services sociaux du Bas-Saint-Laurent","CISSS du Bas-Saint-Laurent","01","Bas-Saint-Laurent","127, rue Galarneau"," ","G0L3X0","14070","Saint-Pacôme","01111","Kamouraska","140","Kamouraska","0111","RLS de Kamouraska","1","RUISSS Université Laval","1","2","1","0","N"," ","1996-01-01",-69.95099639892578,47.40290069580078,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51217768","CENTRE D'HÉBERGEMENT VILLA MARIA","CENTRE D'HÉBERGEMENT VILLA MARIA","11045119","Centre intégré de santé et de services sociaux du Bas-Saint-Laurent","CISSS du Bas-Saint-Laurent","01","Bas-Saint-Laurent","404, avenue du Foyer"," ","G0L2G0","14035","Saint-Alexandre-de-Kamouraska","01111","Kamouraska","140","Kamouraska","0111","RLS de Kamouraska","1","RUISSS Université Laval","1","2","1","0","N"," ","1996-01-01",-69.62010192871094,47.685699462890625,"Non","Non","Oui","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51217792","CENTRE D'HÉBERGEMENT SAINTE-MARIE","CENTRE D'HÉBERGEMENT SAINTE-MARIE","11045127","Centre intégré universitaire de santé et de services sociaux du Saguenay – Lac-Saint-Jean","CIUSSS du Saguenay – Lac-Saint-Jean","02","Saguenay–Lac-Saint-Jean","2184, rue Perrier"," ","G7X9C9","94068","Saguenay","02141","Jonquière","941","Saguenay","0214","RLS de Jonquière","1","RUISSS Université Laval","1","2","1","0","N"," ","1995-12-12",-71.2396011352539,48.41469955444336,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51217800","CENTRE D'HÉBERGEMENT DE RIVIÈRE-BLEUE","CENTRE D'HÉBERGEMENT DE RIVIÈRE-BLEUE","11045119","Centre intégré de santé et de services sociaux du Bas-Saint-Laurent","CISSS du Bas-Saint-Laurent","01","Bas-Saint-Laurent","45, rue du Foyer Sud"," ","G0L2B0","13025","Rivière-Bleue","01131","Témiscouata","130","Témiscouata","0113","RLS de Témiscouata","1","RUISSS Université Laval","1","2","1","0","N"," ","1996-01-01",-69.03849792480469,47.43239974975586,"Non","Non","Oui","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
