ETAB_CODE,ETAB_NOM,ETAB_NOM_A,RSS_CODE,RSS_NOM,ADRESSE,CASE_POST,CODE_POSTA,MUN_CODE,MUN_NOM,CLSC_CODE,CLSC_NOM,MRC_CODE,MRC_NOM,RLS_CODE,RLS_NOM,RUIS_CODE,RUIS_NOM,STATUT_COD,MD_CONS_CO,MD_FINAN_C,DESIGN_MIN,INSTANCE,DATE_INCOR,LONGITUDE,LATITUDE,CHPSY,CHSGS,CHSLD,CLSC,CPEJ,CRDITED,CRDPA,CRDPM,CRDPV,CRDPL,CRJDA,CRMDA,CRD,DATE_MAJ
"11045176","Centre intégré universitaire de santé et de services sociaux du Centre-Ouest-de-l'Île-de-Montréal","CIUSSS du Centre-Ouest-de-l'Île-de-Montréal","06","Montréal","3755, chemin de la Côte-Sainte-Catherine","bureau B-119","H3T1E2","66023","Montréal","06224","Côte-des-Neiges","660","Montréal","0622","RLS de Côte-des-Neiges - Métro - Parc-Extension","3","RUISSS Université McGill","1","2","1","0","N"," ",-73.62879943847656,45.497798919677734,"Non","Oui","Oui","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"11045184","Centre intégré universitaire de santé et de services sociaux du Centre-Sud-de-l'Île-de-Montréal","CIUSSS du Centre-Sud-de-l'Île-de-Montréal","06","Montréal","1560, rue Sherbrooke Est"," ","H2L4M1","66023","Montréal","06323","Montréal - Centre-Sud","660","Montréal","0632","RLS des Faubourgs - Plateau-Mont-Royal - St-Louis-du-Parc","2","RUISSS Université de Montréal","1","2","1","0","N"," ",-73.5635986328125,45.52539825439453,"Non","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Non","Oui","2026-03-23"
"11045192","Centre intégré universitaire de santé et de services sociaux du Nord-de-l'Île-de-Montréal","CIUSSS du Nord-de-l'Île-de-Montréal","06","Montréal","5400, boulevard Gouin Ouest"," ","H4J1C5","66023","Montréal","06411","Bordeaux-Cartierville","660","Montréal","0641","RLS du Nord de l'Île - Saint-Laurent","2","RUISSS Université de Montréal","1","2","1","0","N"," ",-73.68769836425781,45.54759979248047,"Oui","Oui","Oui","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"11045200","Centre intégré universitaire de santé et de services sociaux de l'Est-de-l'Île-de-Montréal","CIUSSS de l'Est-de-l'Île-de-Montréal","06","Montréal","5415, boulevard de l'Assomption"," ","H1T2M4","66023","Montréal","06531","Rosemont","660","Montréal","0653","RLS de Hochelaga - Mercier-Ouest - Rosemont","2","RUISSS Université de Montréal","1","2","1","0","N"," ",-73.55850219726562,45.57419967651367,"Oui","Oui","Oui","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"11045218","Centre intégré de santé et de services sociaux de l'Outaouais","CISSS de l'Outaouais","07","Outaouais","70, rue Crémazie, 9e étage"," ","J8Y3P2","81017","Gatineau","07142","Hull","810","Gatineau","0714","RLS de Grande-Rivière - Hull - Gatineau","3","RUISSS Université McGill","1","2","1","0","N"," ",-75.722900390625,45.480201721191406,"Non","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Non","Oui","Non","Oui","2026-03-23"
"11045226","Centre intégré de santé et de services sociaux de l'Abitibi-Témiscamingue","CISSS de l'Abitibi-Témiscamingue","08","Abitibi-Témiscamingue","1, 9e Rue"," ","J9X2A9","86042","Rouyn-Noranda","08131","Rouyn-Noranda","860","Rouyn-Noranda","0813","RLS de Rouyn-Noranda","3","RUISSS Université McGill","1","2","1","0","N"," ",-79.02100372314453,48.24340057373047,"Non","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Non","Oui","2026-03-23"
"11045234","Centre intégré de santé et de services sociaux de la Côte-Nord","CISSS de la Côte-Nord","09","Côte-Nord","835, boulevard Jolliet"," ","G5C1P5","96020","Baie-Comeau","09123","Manicouagan","960","Manicouagan","0912","RLS de la Haute-Côte-Nord  - Manicouagan","1","RUISSS Université Laval","1","2","1","0","N"," ",-68.25700378417969,49.190399169921875,"Non","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Non","Oui","2026-03-23"
"11045242","Centre intégré de santé et de services sociaux de la Gaspésie","CISSS de la Gaspésie","11","Gaspésie–Îles-de-la-Madeleine","215, boulevard de York Ouest"," ","G4X2W2","03005","Gaspé","11132","Gaspé","030","La Côte-de-Gaspé","1113","RLS de La Côte-de-Gaspé","1","RUISSS Université Laval","1","2","1","0","N"," ",-64.49669647216797,48.81290054321289,"Non","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Non","Oui","Non","Oui","2026-03-23"
"11045267","Centre intégré de santé et de services sociaux de Laval","CISSS de Laval","13","Laval","1755, boulevard René-Laennec"," ","H7M3L9","65005","Laval","13113","Pont-Viau","650","Laval","1311","RLS de Laval","2","RUISSS Université de Montréal","1","2","1","0","N"," ",-73.71080017089844,45.60329818725586,"Non","Oui","Oui","Oui","Oui","Oui","Non","Oui","Non","Non","Oui","Non","Oui","2026-03-23"
"11045275","Centre intégré de santé et de services sociaux de Lanaudière","CISSS de Lanaudière","14","Lanaudière","260, rue Lavaltrie Sud"," ","J6E5X7","61025","Joliette","14113","Joliette","610","Joliette","1411","RLS de Lanaudière-Nord","2","RUISSS Université de Montréal","1","2","1","0","N"," ",-73.44110107421875,46.0181999206543,"Non","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Non","Oui","2026-03-23"
"11045283","Centre intégré de santé et de services sociaux des Laurentides","CISSS des Laurentides","15","Laurentides","290, rue de Montigny"," ","J7Z5T3","75017","Saint-Jérôme","15161","La Rivière-du-Nord - Mirabel","750","La Rivière-du-Nord","1516","RLS de la Rivière-du-Nord - Mirabel-Nord","2","RUISSS Université de Montréal","1","2","1","0","N"," ",-74.00019836425781,45.76559829711914,"Non","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Non","Oui","2026-03-23"
"11045291","Centre intégré de santé et de services sociaux de la Montérégie-Centre","CISSS de la Montérégie-Centre","16","Montérégie","3141, boulevard Taschereau, bureau 220"," ","J4V2H2","58227","Longueuil","16111","Brossard - Saint-Lambert","580","Longueuil","1611","RLS de Champlain","2","RUISSS Université de Montréal","1","2","1","0","N"," ",-73.48419952392578,45.497798919677734,"Non","Oui","Oui","Oui","Non","Non","Non","Non","Oui","Non","Non","Non","Non","2026-03-23"
"11045309","Centre intégré de santé et de services sociaux de la Montérégie-Est","CISSS de la Montérégie-Est","16","Montérégie","2750, boulevard Laframboise"," ","J2S4Y8","54048","Saint-Hyacinthe","16222","Les Maskoutains","540","Les Maskoutains","1622","RLS de Richelieu-Yamaska","4","RUISSS Université de Sherbrooke","1","2","1","0","N"," ",-72.95950317382812,45.63479995727539,"Non","Oui","Oui","Oui","Oui","Non","Non","Oui","Non","Non","Oui","Non","Non","2026-03-23"
"11045317","Centre intégré de santé et de services sociaux de la Montérégie-Ouest","CISSS de la Montérégie-Ouest","16","Montérégie","200, boulevard Brisebois"," ","J6K4W8","67050","Châteauguay","16341","Châteauguay-Mercier","670","Roussillon","1634","RLS de Jardins-Roussillon","3","RUISSS Université McGill","1","2","1","0","N"," ",-73.76339721679688,45.345699310302734,"Non","Oui","Oui","Oui","Non","Oui","Oui","Oui","Non","Oui","Non","Non","Oui","2026-03-23"
"11045333","Centre intégré de santé et de services sociaux de Chaudière-Appalaches","CISSS de Chaudière-Appalaches","12","Chaudière-Appalaches","363, route Cameron"," ","G6E3E2","26030","Sainte-Marie","12115","La Nouvelle-Beauce","260","La Nouvelle-Beauce","1211","RLS Alphonse-Desjardins","1","RUISSS Université Laval","1","2","1","0","N"," ",-71.04519653320312,46.46480178833008,"Non","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Non","Oui","Non","Oui","2026-03-23"
"11045051","CHU de Québec – Université Laval","CHU de Québec – UL","03","Capitale-Nationale","11, côte du Palais"," ","G1R2J6","23027","Québec","03124","Québec - Haute-Ville","230","Québec","0312","RLS de Québec-Sud","1","RUISSS Université Laval","1","2","1","1","N"," ",-71.21099853515625,46.815399169921875,"Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"11097029","Hôpital juif de réadaptation","Hôpital juif de réadaptation","13","Laval","3205, place Alton-Goldbloom"," ","H7V1R2","65005","Laval","13114","Chomedey","650","Laval","1311","RLS de Laval","2","RUISSS Université de Montréal","1","6","1","0","N","2007-04-03",-73.73760223388672,45.54869842529297,"Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"12363412","Centre de santé et de services sociaux du Haut-Saint-Laurent","CSSS du Haut-Saint-Laurent","16","Montérégie","28, rue Gale"," ","J0S1K0","69037","Ormstown","16331","Haut-Saint-Laurent","690","Le Haut-Saint-Laurent","1633","RLS du Haut-Saint-Laurent","3","RUISSS Université McGill","1","4","1","0","O","2007-04-10",-73.9999008178711,45.12630081176758,"Non","Oui","Oui","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"12409991","Hôpital Jeffery Hale - Saint Brigid's","Hôpital Jeffery Hale - Saint Brigid's","03","Capitale-Nationale","1250, chemin Sainte-Foy"," ","G1S2M6","23027","Québec","03124","Québec - Haute-Ville","230","Québec","0312","RLS de Québec-Sud","1","RUISSS Université Laval","1","4","1","0","N","2007-04-10",-71.25309753417969,46.796600341796875,"Non","Oui","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"12420774","Hôpital Santa Cabrini","Hôpital Santa Cabrini","06","Montréal","5655, rue Saint-Zotique Est"," ","H1T1P7","66023","Montréal","06531","Rosemont","660","Montréal","0653","RLS de Hochelaga - Mercier-Ouest - Rosemont","2","RUISSS Université de Montréal","1","4","1","0","N","2007-04-03",-73.57170104980469,45.580101013183594,"Non","Oui","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"12431656","Institut de cardiologie de Montréal","ICM","06","Montréal","5000, rue Bélanger"," ","H1T1C8","66023","Montréal","06531","Rosemont","660","Montréal","0653","RLS de Hochelaga - Mercier-Ouest - Rosemont","2","RUISSS Université de Montréal","1","4","1","2","N"," ",-73.57779693603516,45.57379913330078,"Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"12452645","Hôpital Marie-Clarac des Soeurs de Charité de Ste-Marie (1995) inc.","Hôpital Marie-Clarac des Soeurs de Charité de Ste-Marie","06","Montréal","3530, boulevard Gouin Est"," ","H1H1B7","66023","Montréal","06422","Montréal-Nord","660","Montréal","0642","RLS d'Ahuntsic - Montréal-Nord","2","RUISSS Université de Montréal","2","1","2","0","N","2010-02-24",-73.64969635009766,45.59080123901367,"Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"12599213","Centre universitaire de santé McGill","CUSM","06","Montréal","1001, boulevard Décarie"," ","H4A3J1","66023","Montréal","06212","Notre-Dame-de-Grâce - Montréal-Ouest","660","Montréal","0621","RLS de Côte-Saint-Luc - NDG - Montréal-Ouest","3","RUISSS Université McGill","1","2","1","1","N","2007-04-04",-73.58899688720703,45.49700164794922,"Non","Oui","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"12685608","L'Hôpital général juif Sir Mortimer B. Davis","L'Hôpital général juif Sir Mortimer B. Davis","06","Montréal","3755, chemin de la Côte-Sainte-Catherine"," ","H3T1E2","66023","Montréal","06224","Côte-des-Neiges","660","Montréal","0622","RLS de Côte-des-Neiges - Métro - Parc-Extension","3","RUISSS Université McGill","1","6","1","4","N","2007-05-07",-73.62879943847656,45.497798919677734,"Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"12694659","Centre hospitalier universitaire Sainte-Justine","CHU Sainte-Justine","06","Montréal","3175, chemin de la Côte-Sainte-Catherine"," ","H3T1C5","66023","Montréal","06224","Côte-des-Neiges","660","Montréal","0622","RLS de Côte-des-Neiges - Métro - Parc-Extension","3","RUISSS Université McGill","1","6","1","1","N"," ",-73.6249008178711,45.50320053100586,"Non","Oui","Oui","Non","Non","Non","Non","Oui","Non","Non","Non","Non","Non","2026-03-23"
"12730628","Centre de santé Tulattavik de l'Ungava","Centre de santé Tulattavik de l'Ungava","17","Nunavik","Kuujjuaq","case postale 149","J0M1C0","99095","Kuujjuaq","17012","Ungava","992","Administration régionale Kativik"," "," ","3","RUISSS Université McGill","1","2","1","0","N","2010-05-03",-68.4052963256836,58.106998443603516,"Non","Oui","Oui","Oui","Oui","Non","Non","Non","Non","Non","Oui","Non","Non","2026-03-23"
"12745725","Centre hospitalier de St. Mary","Centre hospitalier de St. Mary","06","Montréal","3830, avenue Lacombe"," ","H3T1M5","66023","Montréal","06224","Côte-des-Neiges","660","Montréal","0622","RLS de Côte-des-Neiges - Métro - Parc-Extension","3","RUISSS Université McGill","1","6","1","4","N","2007-04-04",-73.62409973144531,45.49489974975586,"Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"13388905","Centre métropolitain de chirurgie plastique inc.","Centre métropolitain de chirurgie plastique inc.","06","Montréal","999, rue de Salaberry"," ","H3L1L2","66023","Montréal","06421","Ahuntsic","660","Montréal","0642","RLS d'Ahuntsic - Montréal-Nord","2","RUISSS Université de Montréal","2","3","4","0","N","2010-02-24",-73.69290161132812,45.5453987121582,"Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"13469796","Hôpital Mont-Sinaï","Hôpital Mont-Sinaï","06","Montréal","5690, boulevard Cavendish"," ","H4W1S7","66058","Côte-Saint-Luc","06211","Côte-Saint-Luc","660","Montréal","0621","RLS de Côte-Saint-Luc - NDG - Montréal-Ouest","3","RUISSS Université McGill","1","6","1","0","N","2007-04-03",-73.65730285644531,45.47380065917969,"Non","Oui","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"13506472","Hôpital Shriners pour enfants (Québec) inc.","Hôpital Shriners pour enfants (Québec) inc.","06","Montréal","1003, boulevard Décarie"," ","H4A0A9","66023","Montréal","06212","Notre-Dame-de-Grâce - Montréal-Ouest","660","Montréal","0621","RLS de Côte-Saint-Luc - NDG - Montréal-Ouest","3","RUISSS Université McGill","2","3","2","0","N","2010-02-24",-73.60199737548828,45.4718017578125,"Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"13623616","Institut universitaire de cardiologie et de pneumologie de Québec – Université Laval","IUCPQ – UL","03","Capitale-Nationale","2725, chemin Sainte-Foy"," ","G1V4G5","23027","Québec","03123","Sainte-Foy - Sillery","230","Québec","0312","RLS de Québec-Sud","1","RUISSS Université Laval","1","2","1","2","N"," ",-71.29769897460938,46.77909851074219,"Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"13818596","Centre de santé et de services sociaux - Institut universitaire de gériatrie de Sherbrooke","CSSS- Institut universitaire de gériatrie de Sherbrooke","05","Estrie","1036, rue Belvédère Sud"," ","J1H4C4","43027","Sherbrooke","05151","Sherbrooke","430","Sherbrooke","0515","RLS de Sherbrooke","4","RUISSS Université de Sherbrooke","1","2","1","9","O","2007-04-02",-71.89510345458984,45.39070129394531,"Non","Oui","Oui","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"16322059","La Maison Michel-Sarrazin","La Maison Michel-Sarrazin","03","Capitale-Nationale","2101, chemin Saint-Louis"," ","G1T1P5","23027","Québec","03123","Sainte-Foy - Sillery","230","Québec","0312","RLS de Québec-Sud","1","RUISSS Université Laval","2","4","6","0","N","2010-02-24",-71.25160217285156,46.77349853515625,"Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"16802704","Conseil des Mohawks de Kahnawake","Conseil des Mohawks de Kahnawake","16","Montérégie","Case postale 720"," ","J0L1B0","67802","Kahnawake","16341","Châteauguay-Mercier","670","Roussillon","1634","RLS de Jardins-Roussillon","3","RUISSS Université McGill","2","0","6","0","N","2010-02-24",-73.67639923095703,45.41389846801758,"Non","Oui","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"18456327","Centre de santé Inuulitsivik - Inuulitsivik Healthcenter","Centre de santé Inuulitsivik","17","Nunavik","Chemin Baie d'Hudson"," ","J0M1P0","99120","Puvirnituq","17011","Baie D'Hudson","992","Administration régionale Kativik"," "," ","3","RUISSS Université McGill","1","2","1","0","N","2010-05-03",-77.27580261230469,60.03770065307617,"Non","Oui","Oui","Oui","Oui","Non","Non","Non","Non","Non","Oui","Non","Non","2026-03-23"
"29732187","Villa Medica inc.","Villa Medica inc.","06","Montréal","225, rue Sherbrooke Est"," ","H2X1C9","66023","Montréal","06321","Saint-Louis-du-Parc","660","Montréal","0632","RLS des Faubourgs - Plateau-Mont-Royal - St-Louis-du-Parc","2","RUISSS Université de Montréal","2","1","2","0","N","2010-02-24",-73.5687026977539,45.51499938964844,"Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"11043163","CHSLD Résidence Bourg-Joli inc.","CHSLD Résidence Bourg-Joli inc.","16","Montérégie","2915, boulevard Laframboise"," ","J2S4Z3","54048","Saint-Hyacinthe","16222","Les Maskoutains","540","Les Maskoutains","1622","RLS de Richelieu-Yamaska","4","RUISSS Université de Sherbrooke","2","1","4","0","N","2010-02-24",-72.96420288085938,45.63349914550781,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"11045085","Centre d'hébergement et de soins de longue durée de Saint-Jean-sur-Richelieu S.E.C.","CHSLD de Saint-Jean-sur-Richelieu S.E.C.","16","Montérégie","40, rue Labrèche"," ","J3B0J3","56083","Saint-Jean-sur-Richelieu","16122","Saint-Jean-sur-Richelieu - Saint-Luc","560","Le Haut-Richelieu","1612","RLS du Haut-Richelieu - Rouville","4","RUISSS Université de Sherbrooke","2","0","2","0","N"," ",-73.2614974975586,45.31159973144531,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"27508456","Centre d'hébergement St-Jean-Eudes inc.","Centre d'hébergement St-Jean-Eudes inc.","03","Capitale-Nationale","6000, 3e Avenue Ouest"," ","G1H7J5","23027","Québec","03132","Charlesbourg","230","Québec","0313","RLS de Québec-Nord","1","RUISSS Université Laval","2","1","2","0","N","2010-02-24",-71.2594985961914,46.85049819946289,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"11043981","Prodimax inc.","Prodimax inc.","13","Laval","1050, 15e avenue"," ","H7R4N9","65005","Laval","13111","Sainte-Rose-de-Laval","650","Laval","1311","RLS de Laval","2","RUISSS Université de Montréal","2","1","2","0","N","2010-02-24",-73.85890197753906,45.562198638916016,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"11053147","Centre d'hébergement et de soins de longue durée Michèle-Bohec inc.","CHSLD Michèle-Bohec inc.","14","Lanaudière","751, rue Marcel-De La Sablonnière"," ","J6Y0M4","64008","Terrebonne","14121","Les Moulins","640","Les Moulins","1412","RLS de Lanaudière-Sud","2","RUISSS Université de Montréal","2","2","2","0","N"," ",-73.72859954833984,45.687198638916016,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"23237407","Placements M.G.O. inc.","Placements M.G.O. inc.","13","Laval","5855, rue Boulard"," ","H7B1A3","65005","Laval","13112","Duvernay","650","Laval","1311","RLS de Laval","2","RUISSS Université de Montréal","2","1","2","0","N","2010-02-24",-73.64739990234375,45.68659973144531,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"13027073","Centre d'hébergement du Boisé Ltée","Centre d'hébergement du Boisé Ltée","03","Capitale-Nationale","3690, boulevard Neilson"," ","G1W0A9","23027","Québec","03123","Sainte-Foy - Sillery","230","Québec","0312","RLS de Québec-Sud","1","RUISSS Université Laval","2","1","2","0","N","2010-02-23",-71.32140350341797,46.75400161743164,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"12562179","Maison Elizabeth","Maison Elizabeth","06","Montréal","2131, avenue de Marlowe"," ","H4A3L4","66023","Montréal","06212","Notre-Dame-de-Grâce - Montréal-Ouest","660","Montréal","0621","RLS de Côte-Saint-Luc - NDG - Montréal-Ouest","3","RUISSS Université McGill","2","4","1","0","N","2010-02-24",-73.60690307617188,45.47520065307617,"Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Oui","Non","2026-03-23"
"11045382","Centre d'hébergement et de soins de longue durée au Cœur-de-la-Vie inc.","CHSLD au Cœur-de-la-Vie inc.","15","Laurentides","325, rue Barrette, 1er étage"," ","J7Y0J8","75017","Saint-Jérôme","15161","La Rivière-du-Nord - Mirabel","750","La Rivière-du-Nord","1516","RLS de la Rivière-du-Nord - Mirabel-Nord","2","RUISSS Université de Montréal","2","1","2","0","N"," ",-74.01439666748047,45.77750015258789,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"13793781","CHSLD Juif de Montréal","CHSLD Juif de Montréal","06","Montréal","5725, avenue Victoria"," ","H3W3H6","66023","Montréal","06223","Snowdon","660","Montréal","0622","RLS de Côte-des-Neiges - Métro - Parc-Extension","3","RUISSS Université McGill","1","6","1","0","N","2007-04-04",-73.63379669189453,45.49300003051758,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"11054582","Centre d'hébergement et de soins de longue durée Côté-Jardin inc.","Centre d'hébergement et de soins de longue durée Côté-J","03","Capitale-Nationale","880, avenue Painchaud"," ","G1S0A3","23027","Québec","03123","Sainte-Foy - Sillery","230","Québec","0312","RLS de Québec-Sud","1","RUISSS Université Laval","2","7","2","0","N"," ",-71.26100158691406,46.78820037841797,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
